"ID","Age","valence","magnitude","skew_count","gut","math","win.money","lose.money","win.likely","lose.likely","hap","lap","la","lan","han","ha","graph_lit","Numeracy","lost_invest","why_lost","detect_fraud","likely_fraud","high_pressure","avoid_fraud"
"81",59,"loss","0.5",9,4,1,4,2,4,2,1.5,2,2,2.66666666666667,1,1.33333333333333,19,10,0,NA,4,1,3,2
"82",34,"loss","5",4,5,3,4,4,4,4,2.25,2,2.66666666666667,3.33333333333333,1.33333333333333,3.33333333333333,10,7,0,NA,7,1,7,1
"83",66,"loss","5",6,4,2,5,5,4,4,4,4,1.33333333333333,1.66666666666667,1.33333333333333,2.66666666666667,49,12,1,1,5,2,7,1
"84",66,"gain","0.5",6,3,4,4,4,4,4,3.25,4,2.66666666666667,2.33333333333333,1.66666666666667,1.66666666666667,45,11,1,4,5,2,6,1
"85",60,"gain","5",9,4,4,4,4,4,4,2,2,2,3,1.33333333333333,2,10,8,0,NA,5,1,7,2
"86",39,"loss","0.5",9,4,2,2,2,3,4,2,3.33333333333333,2.33333333333333,2,1.33333333333333,1.33333333333333,42,12,1,2,4,4,5,2
"87",67,"neutral","0",9,4,4,4,2,3,4,2.5,3.33333333333333,1.66666666666667,1,1,1.66666666666667,33,9,1,2,7,1,7,2
"88",76,"gain","0.5",1,5,1,2,4,3,3,2,4,2.33333333333333,1.66666666666667,1,1,18,12,0,NA,1,1,7,2
"89",63,"gain","0.5",9,5,1,5,5,4,4,3,4,2.66666666666667,2,2.33333333333333,2.66666666666667,18,6,0,NA,4,4,4,1
"9",63,"loss","0.5",9,3,5,5,5,4,4,3.5,4,2.33333333333333,1.66666666666667,2,2.33333333333333,42,14,1,4,5,3,6,2
"90",75,"gain","5",9,5,2,4,2,4,2,3.25,3.66666666666667,3.33333333333333,2,1.33333333333333,2,20,9,0,NA,4,1,7,1
"91",50,"gain","0.5",6,3,3,3,3,3,3,2.25,2,2,3.66666666666667,2.33333333333333,2,14,5,0,NA,5,3,4,2
"92",78,"gain","5",0,4,5,4,2,4,2,3.25,4,3.66666666666667,2,1,2.33333333333333,26,8,1,3,5,1,5,1
"93",60,"neutral","0",9,4,4,4,4,4,4,2,2.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,33,8,1,3,2,5,3,1
"94",68,"neutral","0",6,2,3,3,4,2,4,1.5,4,3,2.33333333333333,1,1,41,10,1,3,3,2,7,2
"95",54,"gain","0.5",9,5,5,4,2,4,3,2.25,3,3.33333333333333,3,2,3.33333333333333,38,13,1,2,2,2,4,2
"96",67,"gain","0.5",8,4,4,4,1,4,1,2.5,3.33333333333333,1.66666666666667,1.66666666666667,1.33333333333333,2,18,10,0,NA,1,1,7,2
"97",60,"loss","0.5",1,5,4,3,4,4,4,2.5,3,2.33333333333333,2,2,2,35,11,1,2,4,2,7,2
"98",72,"gain","5",2,2,3,4,5,2,2,1.75,1.66666666666667,2.33333333333333,3.66666666666667,3.33333333333333,1.33333333333333,33,12,1,1,5,2,7,2
"99",70,"loss","5",1,5,5,3,5,3,4,3,3.33333333333333,3,2.33333333333333,1.33333333333333,2,47,11,0,NA,6,1,7,1
